A0A075B6H9	Immunoglobulin lambda variable 4-69
Q8IUD6	E3 ubiquitin-protein ligase RNF135
Q8IUE0	Homeobox protein TGIF2LY
Q8IUE1	Homeobox protein TGIF2LX
Q8IUE6	Histone H2A type 2-B
Q8IUF1	COBW domain-containing protein 2
Q8IUF8	Ribosomal oxygenase 2
Q8IUG1	Keratin-associated protein 1-3
Q8IUG5	Unconventional myosin-XVIIIb
Q8IUH2	Protein CREG2
Q8IUH3	RNA-binding protein 45
Q8IUH4	Palmitoyltransferase ZDHHC13
Q8IUH5	Palmitoyltransferase ZDHHC17
Q8IUH8	Signal peptide peptidase-like 2C
Q8IUI4	Putative protein SNX29P2
Q8IUI8	Cytokine receptor-like factor 3
Q8IUK5	Plexin domain-containing protein 1
Q8IUK8	Cerebellin-2
Q8IUL8	Cartilage intermediate layer protein 2
Q8IUM7	Neuronal PAS domain-containing protein 4
Q8IUN9	C-type lectin domain family 10 member A
Q8IUQ0	Clavesin-1
Q8IUQ4	E3 ubiquitin-protein ligase SIAH1
Q8IUR0	Trafficking protein particle complex subunit 5
Q8IUR5	Transmembrane and TPR repeat-containing protein 1
Q8IUR6	CREB3 regulatory factor
Q8IUR7	Armadillo repeat-containing protein 8
Q8IUS5	Epoxide hydrolase 4
Q8IUW3	Spermatogenesis-associated protein 2-like protein
Q8IUW5	RELT-like protein 1
Q8IUX1	Complex I assembly factor TMEM126B, mitochondrial
Q8IUX4	DNA dC->dU-editing enzyme APOBEC-3F
Q8IUX7	Adipocyte enhancer-binding protein 1
Q8IUX8	Epidermal growth factor-like protein 6
Q8IUY3	GRAM domain-containing protein 2A
Q8IUZ0	Leucine-rich repeat-containing protein 49
Q8IUZ5	5-phosphohydroxy-L-lysine phospho-lyase
Q8IV01	Synaptotagmin-12
Q8IV03	Leucine rich adaptor protein 1-like
Q8IV04	Carabin
Q8IV08	Phospholipase D3
Q8IV13	Cyclin-J-like protein
Q8IV16	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
Q8IV20	Laccase domain-containing protein 1
Q8IV31	Transmembrane protein 139
Q8IV32	Coiled-coil domain-containing protein 71
Q8IV33	Uncharacterized protein KIAA0825
Q8IV35	WD repeat-containing protein 49
Q8IV36	Protein HID1
Q8IV38	Ankyrin repeat and MYND domain-containing protein 2
Q8IV42	L-seryl-tRNA(Sec) kinase
Q8IV45	UNC5C-like protein
Q8IV48	3'-5' exoribonuclease 1
Q8IV50	LysM and putative peptidoglycan-binding domain-containing protein 2
Q8IV53	DENN domain-containing protein 1C
Q8IV56	Proline-rich protein 15
Q8IV61	Ras guanyl-releasing protein 3
Q8IV63	Inactive serine/threonine-protein kinase VRK3
Q8IV76	Circadian clock protein PASD1
Q8IV77	Cyclic nucleotide-gated cation channel alpha-4
Q8IVA1	Purkinje cell protein 2 homolog
Q8IVB4	Sodium/hydrogen exchanger 9
Q8IVB5	LIX1-like protein
Q8IVC4	Zinc finger protein 584
Q8IVD9	NudC domain-containing protein 3
Q8IVE0	Putative ciliary rootlet coiled-coil protein-like 2 protein
Q8IVE3	Pleckstrin homology domain-containing family H member 2
Q8IVF1	NUT family member 2A
Q8IVF2	Protein AHNAK2
Q8IVF4	Dynein heavy chain 10, axonemal
Q8IVF5	T-lymphoma invasion and metastasis-inducing protein 2
Q8IVF6	Ankyrin repeat domain-containing protein 18A
Q8IVF7	Formin-like protein 3
Q8IVG5	Sterile alpha motif domain-containing protein 9-like
Q8IVG9	Humanin
Q8IVH2	Forkhead box protein P4
Q8IVH4	Methylmalonic aciduria type A protein, mitochondrial
Q8IVH8	Mitogen-activated protein kinase kinase kinase kinase 3
Q8IVI9	Nostrin
Q8IVJ1	Solute carrier family 41 member 1
Q8IVJ8	AP20 region protein 1
Q8IVK1	Putative glycosylation-dependent cell adhesion molecule 1
Q8IVL0	Neuron navigator 3
Q8IVL1	Neuron navigator 2
Q8IVL5	Prolyl 3-hydroxylase 2
Q8IVL6	Prolyl 3-hydroxylase 3
Q8IVL8	Carboxypeptidase O
Q8IVM0	Coiled-coil domain-containing protein 50
Q8IVM7	Putative uncharacterized protein encoded by LINC00346
Q8IVM8	Solute carrier family 22 member 9
Q8IVN3	Musculoskeletal embryonic nuclear protein 1
Q8IVN8	Somatomedin-B and thrombospondin type-1 domain-containing protein
Q8IVP5	FUN14 domain-containing protein 1
Q8IVP9	Zinc finger protein 547
Q8IVQ6	Palmitoyltransferase ZDHHC21
Q8IVS2	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial
Q8IVS8	Glycerate kinase
Q8IVT2	Mitotic interactor and substrate of PLK1
Q8IVT5	Kinase suppressor of Ras 1
Q8IVU1	Immunoglobulin superfamily DCC subclass member 3
Q8IVU3	Probable E3 ubiquitin-protein ligase HERC6
Q8IVU9	Ciliary-associated calcium-binding coiled-coil protein 1
Q8IVV2	Lipoxygenase homology domain-containing protein 1
Q8IVV7	Glucose-induced degradation protein 4 homolog
Q8IVV8	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4
Q8IVW1	ADP-ribosylation factor-like protein 17
Q8IVW4	Cyclin-dependent kinase-like 3
Q8IVW6	AT-rich interactive domain-containing protein 3B
Q8IVW8	Protein spinster homolog 2
Q8IVY1	Type III endosome membrane protein TEMP
Q8IW00	V-set and transmembrane domain-containing protein 4
Q8IW03	Seven in absentia homolog 3
Q8IW19	Aprataxin and PNK-like factor
Q8IW35	Centrosomal protein of 97 kDa
Q8IW36	Zinc finger protein 695
Q8IW40	Coiled-coil domain-containing protein 103
Q8IW41	MAP kinase-activated protein kinase 5
Q8IW45	ATP-dependent (S)-NAD(P)H-hydrate dehydratase
Q8IW50	Protein FAM219A
Q8IW52	SLIT and NTRK-like protein 4
Q8IW70	Transmembrane protein 151B
Q8IW75	Serpin A12
Q8IW92	Beta-galactosidase-1-like protein 2
Q8IW93	Rho guanine nucleotide exchange factor 19
Q8IWA0	WD repeat-containing protein 75
Q8IWA4	Mitofusin-1
Q8IWA5	Choline transporter-like protein 2
Q8IWA6	Coiled-coil domain-containing protein 60
Q8IWB1	Inositol 1,4,5-trisphosphate receptor-interacting protein
Q8IWB4	Spermatogenesis-associated protein 31A7
Q8IWB6	Inactive serine/threonine-protein kinase TEX14
Q8IWB7	WD repeat and FYVE domain-containing protein 1
Q8IWB9	Testis-expressed protein 2
Q8IWC1	MAP7 domain-containing protein 3
Q8IWD4	Coiled-coil domain-containing protein 117
Q8IWD5	Major facilitator superfamily domain-containing protein 6-like
Q8IWE2	Protein NOXP20
Q8IWE4	DCN1-like protein 3
Q8IWE5	Pleckstrin homology domain-containing family M member 2
Q8IWF2	FAD-dependent oxidoreductase domain-containing protein 2
Q8IWF6	Protein DENND6A
Q8IWF7	Putative ubiquitin-conjugating enzyme E2 D2-like protein
Q8IWF9	Coiled-coil domain-containing protein 83
Q8IWG1	WD repeat-containing protein 63
Q8IWI9	MAX gene-associated protein
Q8IWJ2	GRIP and coiled-coil domain-containing protein 2
Q8IWK6	Adhesion G protein-coupled receptor A3
Q8IWL1	Pulmonary surfactant-associated protein A2
Q8IWL2	Pulmonary surfactant-associated protein A1
Q8IWL3	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial
Q8IWL8	Saitohin
Q8IWN6	Protein FAM223A
Q8IWN7	Retinitis pigmentosa 1-like 1 protein
Q8IWP9	Coiled-coil domain-containing protein 28A
Q8IWQ3	Serine/threonine-protein kinase BRSK2
Q8IWR0	Zinc finger CCCH domain-containing protein 7A
Q8IWR1	Tripartite motif-containing protein 59
Q8IWS0	PHD finger protein 6
Q8IWT0	Protein archease
Q8IWT1	Sodium channel subunit beta-4
Q8IWT3	Cullin-9
Q8IWT6	Volume-regulated anion channel subunit LRRC8A
Q8IWU2	Serine/threonine-protein kinase LMTK2
Q8IWU4	Zinc transporter 8
Q8IWU5	Extracellular sulfatase Sulf-2
Q8IWU6	Extracellular sulfatase Sulf-1
Q8IWU9	Tryptophan 5-hydroxylase 2
Q8IWV1	Lymphocyte transmembrane adapter 1
Q8IWV2	Contactin-4
Q8IWV7	E3 ubiquitin-protein ligase UBR1
Q8IWV8	E3 ubiquitin-protein ligase UBR2
Q8IWW6	Rho GTPase-activating protein 12
Q8IWW8	Hydroxyacid-oxoacid transhydrogenase, mitochondrial
Q8IWX5	Sphingosine-1-phosphate phosphatase 2
Q8IWX7	Protein unc-45 homolog B
Q8IWX8	Calcium homeostasis endoplasmic reticulum protein
Q8IWY4	Signal peptide, CUB and EGF-like domain-containing protein 1
Q8IWY8	Zinc finger and SCAN domain-containing protein 29
Q8IWY9	Codanin-1
Q8IWZ3	Ankyrin repeat and KH domain-containing protein 1
Q8IWZ4	Tripartite motif-containing protein 48
Q8IWZ5	Tripartite motif-containing protein 42
Q8IWZ6	Bardet-Biedl syndrome 7 protein
Q8IWZ8	SURP and G-patch domain-containing protein 1
Q8IX01	SURP and G-patch domain-containing protein 2
Q8IX03	Protein KIBRA
Q8IX04	Ubiquitin-conjugating enzyme E2 variant 3
Q8IX05	CD302 antigen
Q8IX06	Putative exonuclease GOR
Q8IX07	Zinc finger protein ZFPM1
Q8IX12	Cell division cycle and apoptosis regulator protein 1
Q8IX15	Homeobox and leucine zipper protein Homez
Q8IX18	Probable ATP-dependent RNA helicase DHX40
Q8IX19	Mast cell-expressed membrane protein 1
Q8IX21	SMC5-SMC6 complex localization factor protein 2
Q8IX29	F-box only protein 16
Q8IX30	Signal peptide, CUB and EGF-like domain-containing protein 3
Q8IX90	Spindle and kinetochore-associated protein 3
Q8IX94	cTAGE family member 4
Q8IX95	Putative cTAGE family member 3
Q8IXA5	Sperm acrosome membrane-associated protein 3
Q8IXB1	DnaJ homolog subfamily C member 10
Q8IXB3	Tumor suppressor candidate 5
Q8IXE1	Olfactory receptor 4N5
Q8IXF0	Neuronal PAS domain-containing protein 3
Q8IXF9	Aquaporin-12A
Q8IXH6	Tumor protein p53-inducible nuclear protein 2
Q8IXH7	Negative elongation factor C/D
Q8IXH8	Cadherin-like protein 26
Q8IXI1	Mitochondrial Rho GTPase 2
Q8IXI2	Mitochondrial Rho GTPase 1
Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
Q8IXJ9	Putative Polycomb group protein ASXL1
Q8IXK0	Polyhomeotic-like protein 2
Q8IXK2	Polypeptide N-acetylgalactosaminyltransferase 12
Q8IXL6	Extracellular serine/threonine protein kinase FAM20C
Q8IXL7	Methionine-R-sulfoxide reductase B3
Q8IXL9	IQ domain-containing protein F2
Q8IXM2	Chromatin complexes subunit BAP18
Q8IXM3	39S ribosomal protein L41, mitochondrial
Q8IXM6	Nurim
Q8IXM7	Outer dense fiber protein 3-like protein 1
Q8IXN7	N-acetylaspartylglutamate synthase A
Q8IXP5	Uncharacterized protein C11orf53
Q8IXQ3	Uncharacterized protein C9orf40
Q8IXQ4	GPALPP motifs-containing protein 1
Q8IXQ5	Kelch-like protein 7
Q8IXQ6	Poly [ADP-ribose] polymerase 9
Q8IXQ8	PDZ domain-containing protein 9
Q8IXQ9	Electron transfer flavoprotein beta subunit lysine methyltransferase
Q8IXR5	Protein FAM178B
Q8IXR9	Uncharacterized protein C12orf56
Q8IXS0	Protein FAM217A
Q8IXS2	Dynein regulatory complex subunit 2
Q8IXS6	Paralemmin-2
Q8IXS8	Protein FAM126B
Q8IXT1	DNA damage-induced apoptosis suppressor protein
Q8IXT2	Doublesex- and mab-3-related transcription factor C2
Q8IXT5	RNA-binding protein 12B
Q8IXU6	Solute carrier family 35 member F2
Q8IXV7	Kelch domain-containing protein 8B
Q8IXW0	Lamin tail domain-containing protein 2
Q8IXW5	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2
Q8IXX5	Transmembrane protein 183A
Q8IXY8	Problable inactive peptidyl-prolyl cis-trans isomerase-like 6
Q8IXZ2	Zinc finger CCCH domain-containing protein 3
Q8IXZ3	Transcription factor Sp8
Q8IY17	Neuropathy target esterase
Q8IY18	Structural maintenance of chromosomes protein 5
Q8IY21	Probable ATP-dependent RNA helicase DDX60
Q8IY22	C-Maf-inducing protein
Q8IY26	Phospholipid phosphatase 6
Q8IY31	Intraflagellar transport protein 20 homolog
Q8IY33	MICAL-like protein 2
Q8IY34	Solute carrier family 15 member 3
Q8IY37	Probable ATP-dependent RNA helicase DHX37
Q8IY42	Uncharacterized protein C4orf19
Q8IY45	Protein AMN1 homolog
Q8IY47	Kelch repeat and BTB domain-containing protein 2
Q8IY49	Monocyte to macrophage differentiation factor 2
Q8IY50	Putative thiamine transporter SLC35F3
Q8IY51	Tigger transposable element-derived protein 4
Q8IY57	YY1-associated factor 2
Q8IY63	Angiomotin-like protein 1
Q8IY67	Ribonucleoprotein PTB-binding 1
Q8IY81	pre-rRNA processing protein FTSJ3
Q8IY82	Dynein regulatory complex subunit 7
Q8IY84	Serine/threonine-protein kinase NIM1
Q8IY85	EF-hand calcium-binding domain-containing protein 13
Q8IY92	Structure-specific endonuclease subunit SLX4
Q8IY95	Transmembrane protein 192
Q8IYA2	Putative coiled-coil domain-containing protein 144C
Q8IYA6	Cytoskeleton-associated protein 2-like
Q8IYA7	Homeobox protein Mohawk
Q8IYA8	Interactor of HORMAD1 protein 1
Q8IYB0	Putative uncharacterized protein MGC39545
Q8IYB1	Protein MB21D2
Q8IYB3	Serine/arginine repetitive matrix protein 1
Q8IYB4	PEX5-related protein
Q8IYB5	Stromal membrane-associated protein 1
Q8IYB7	DIS3-like exonuclease 2
Q8IYB8	ATP-dependent RNA helicase SUPV3L1, mitochondrial
Q8IYB9	Zinc finger protein 595
Q8IYD1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
Q8IYD2	Kelch domain-containing protein 8A
Q8IYD8	Fanconi anemia group M protein
Q8IYD9	Lung adenoma susceptibility protein 2
Q8IYE0	Coiled-coil domain-containing protein 146
Q8IYE1	Coiled-coil domain-containing protein 13
Q8IYF1	Elongin-A2
Q8IYF3	Testis-expressed protein 11
Q8IYG6	Leucine-rich repeat-containing protein 56
Q8IYH5	ZZ-type zinc finger-containing protein 3
Q8IYI0	Shieldin complex subunit 1
Q8IYI6	Exocyst complex component 8
Q8IYI8	Zinc finger protein 440
Q8IYJ0	PILR alpha-associated neural protein
Q8IYJ1	Copine-9
Q8IYJ2	Uncharacterized protein C10orf67, mitochondrial
Q8IYJ3	Synaptotagmin-like protein 1
Q8IYK2	Coiled-coil domain-containing protein 105
Q8IYK4	Procollagen galactosyltransferase 2
Q8IYK8	GTP-binding protein REM 2
Q8IYL2	Probable tRNA (uracil-O(2)-)-methyltransferase
Q8IYL3	UPF0688 protein C1orf174
Q8IYL9	Psychosine receptor
Q8IYM0	Protein FAM186B
Q8IYM1	Septin-12
Q8IYM2	Schlafen family member 12
Q8IYM9	E3 ubiquitin-protein ligase TRIM22
Q8IYN0	Zinc finger protein 100
Q8IYN2	Transcription elongation factor A protein-like 8
Q8IYN6	UBA-like domain-containing protein 2
Q8IYP2	Serine protease 58
Q8IYP9	Palmitoyltransferase ZDHHC23
Q8IYQ7	Threonine synthase-like 1
Q8IYR0	Cilia- and flagella-associated protein 206
Q8IYR2	SET and MYND domain-containing protein 4
Q8IYR6	Tomoregulin-1
Q8IYS0	GRAM domain-containing protein 1C
Q8IYS1	Peptidase M20 domain-containing protein 2
Q8IYS2	Uncharacterized protein KIAA2013
Q8IYS4	Uncharacterized protein C16orf71
Q8IYS5	Osteoclast-associated immunoglobulin-like receptor
Q8IYS8	Biorientation of chromosomes in cell division protein 1-like 2
Q8IYT1	Protein FAM71A
Q8IYT2	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2
Q8IYT3	Coiled-coil domain-containing protein 170
Q8IYT4	Katanin p60 ATPase-containing subunit A-like 2
Q8IYT8	Serine/threonine-protein kinase ULK2
Q8IYU2	E3 ubiquitin-protein ligase HACE1
Q8IYU4	Ubiquilin-like protein
Q8IYU8	Calcium uptake protein 2, mitochondrial
Q8IYV9	Izumo sperm-egg fusion protein 1
Q8IYW2	Cilia- and flagella-associated protein 46
Q8IYW4	ENTH domain-containing protein 1
Q8IYW5	E3 ubiquitin-protein ligase RNF168
Q8IYX0	Zinc finger protein 679
Q8IYX1	TBC1 domain family member 21
Q8IYX3	Coiled-coil domain-containing protein 116
Q8IYX4	Dead end protein homolog 1
Q8IYX7	Stabilizer of axonemal microtubules 1
Q8IYX8	Centrosomal protein CEP57L1
Q8IYY4	Zinc finger protein DZIP1L
Q8IZ02	Leucine-rich repeat-containing protein 34
Q8IZ07	Ankyrin repeat domain-containing protein 13A
Q8IZ08	G-protein coupled receptor 135
Q8IZ13	Protein ZBED8
Q8IZ16	Uncharacterized protein C7orf61
Q8IZ20	Tissue-resident T-cell transcription regulator protein ZNF683
Q8IZ21	Phosphatase and actin regulator 4
Q8IZ26	Zinc finger protein 34
Q8IZ40	REST corepressor 2
Q8IZ41	Ras and EF-hand domain-containing protein
Q8IZ52	Chondroitin sulfate synthase 2
Q8IZ57	Neurensin-1
Q8IZ63	Proline-rich protein 22
Q8IZ69	tRNA (uracil-5-)-methyltransferase homolog A
Q8IZ73	RNA pseudouridylate synthase domain-containing protein 2
Q8IZ81	ELMO domain-containing protein 2
Q8IZ83	Aldehyde dehydrogenase family 16 member A1
Q8IZ96	CKLF-like MARVEL transmembrane domain-containing protein 1
Q8IZA0	Dyslexia-associated protein KIAA0319-like protein
Q8IZA3	Histone H1oo
Q8IZC4	Rhotekin-2
Q8IZC6	Collagen alpha-1(XXVII) chain
Q8IZC7	Zinc finger protein 101
Q8IZD0	Sterile alpha motif domain-containing protein 14
Q8IZD2	Inactive histone-lysine N-methyltransferase 2E
Q8IZD4	mRNA-decapping enzyme 1B
Q8IZD6	Solute carrier family 22 member 15
Q8IZD9	Dedicator of cytokinesis protein 3
Q8IZE3	Protein-associating with the carboxyl-terminal domain of ezrin
Q8IZF0	Sodium leak channel non-selective protein
Q8IZF2	Adhesion G protein-coupled receptor F5
Q8IZF3	Adhesion G protein-coupled receptor F4
Q8IZF4	Adhesion G-protein coupled receptor G5
Q8IZF5	Adhesion G-protein coupled receptor F3
Q8IZF6	Adhesion G-protein coupled receptor G4
Q8IZF7	Adhesion G-protein coupled receptor F2
Q8IZH2	5'-3' exoribonuclease 1
Q8IZI9	Interferon lambda-3
Q8IZJ0	Interferon lambda-2
Q8IZJ1	Netrin receptor UNC5B
Q8IZJ3	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8
Q8IZJ4	Ral-GDS-related protein
Q8IZJ6	Inactive L-threonine 3-dehydrogenase, mitochondrial
Q8IZK6	Mucolipin-2
Q8IZL2	Mastermind-like protein 2
Q8IZL8	Proline-, glutamic acid- and leucine-rich protein 1
Q8IZL9	Cyclin-dependent kinase 20
Q8IZM0	Putative CNGA1-overlapping antisense gene protein
Q8IZM8	Zinc finger protein 654
Q8IZM9	Probable sodium-coupled neutral amino acid transporter 6
Q8IZN3	Probable palmitoyltransferase ZDHHC14
Q8IZN7	Beta-defensin 107
Q8IZP0	Abl interactor 1
Q8IZP1	TBC1 domain family member 3
Q8IZP2	Putative protein FAM10A4
Q8IZP6	RING finger protein 113B
Q8IZP7	Heparan-sulfate 6-O-sulfotransferase 3
Q8IZP9	Adhesion G-protein coupled receptor G2
Q8IZQ1	WD repeat and FYVE domain-containing protein 3
Q8IZQ5	Selenoprotein H
Q8IZQ8	Myocardin
Q8IZR5	CKLF-like MARVEL transmembrane domain-containing protein 4
Q8IZS5	Orofacial cleft 1 candidate gene 1 protein
Q8IZS6	Tctex1 domain-containing protein 3
Q8IZS7	C-type lectin-like domain family 1
Q8IZS8	Voltage-dependent calcium channel subunit alpha-2/delta-3
Q8IZT6	Abnormal spindle-like microcephaly-associated protein
Q8IZT8	Heparan sulfate glucosamine 3-O-sulfotransferase 5
Q8IZT9	Protein FAM9C
Q8IZU0	Protein FAM9B
Q8IZU1	Protein FAM9A
Q8IZU2	WD repeat-containing protein 17
Q8IZU3	Synaptonemal complex protein 3
Q8IZU8	Dermatan-sulfate epimerase-like protein
Q8IZU9	Kin of IRRE-like protein 3
Q8IZV2	CKLF-like MARVEL transmembrane domain-containing protein 8
Q8IZV5	Retinol dehydrogenase 10
Q8IZW8	Tensin-4
Q8IZX4	Transcription initiation factor TFIID subunit 1-like
Q8IZY2	ATP-binding cassette sub-family A member 7
Q8IZY5	BH3-like motif-containing cell death inducer
Q8J025	Protein APCDD1
Q8MH63	Putative L-type amino acid transporter 1-like protein MLAS
Q8N0S2	Synaptonemal complex central element protein 1
Q8N0S6	Centromere protein L
Q8N0T1	Uncharacterized protein C8orf59
Q8N0U2	Transmembrane protein 61
Q8N0U4	Protein FAM185A
Q8N0U6	Putative uncharacterized protein encoded by LINC00518
Q8N0U7	Uncharacterized protein C1orf87
Q8N0U8	Vitamin K epoxide reductase complex subunit 1-like protein 1
Q8N0V1	Putative uncharacterized protein ZNF295-AS1
Q8N0V3	Putative ribosome-binding factor A, mitochondrial
Q8N0V4	Leucine-rich repeat LGI family member 2
Q8N0V5	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase
Q8N0W3	L-fucose kinase
Q8N0W4	Neuroligin-4, X-linked
Q8N0W5	IQ domain-containing protein K
Q8N0W7	Fragile X mental retardation 1 neighbor protein
Q8N0X2	Sperm-associated antigen 16 protein
Q8N0X4	Citramalyl-CoA lyase, mitochondrial
Q8N0X7	Spartin
Q8N0Y2	Zinc finger protein 444
Q8N0Y3	Olfactory receptor 4N4
Q8N0Y5	Olfactory receptor 8I2
Q8N0Y7	Probable phosphoglycerate mutase 4
Q8N0Z2	Actin-binding Rho-activating protein
Q8N0Z3	Spindle and centriole-associated protein 1
Q8N0Z6	Tetratricopeptide repeat protein 5
Q8N0Z8	tRNA pseudouridine synthase-like 1
Q8N0Z9	V-set and immunoglobulin domain-containing protein 10
Q8N100	Protein atonal homolog 7
Q8N103	T-cell activation Rho GTPase-activating protein
Q8N104	Beta-defensin 106
Q8N108	Mesoderm induction early response protein 1
Q8N109	Killer cell immunoglobulin-like receptor 2DL5A
Q8N111	Cell cycle exit and neuronal differentiation protein 1
Q8N112	Leucine-rich single-pass membrane protein 2
Q8N114	Protein shisa-5
Q8N118	Cytochrome P450 4X1
Q8N119	Matrix metalloproteinase-21
Q8N122	Regulatory-associated protein of mTOR
Q8N123	CPX chromosomal region candidate gene 1 protein
Q8N126	Cell adhesion molecule 3
Q8N127	Olfactory receptor 5AS1
Q8N128	Protein FAM177A1
Q8N129	Protein canopy homolog 4
Q8N130	Sodium-dependent phosphate transport protein 2C
Q8N131	Porimin
Q8N135	Leucine-rich repeat LGI family member 4
Q8N136	Dynein assembly factor with WDR repeat domains 1
Q8N137	Centrobin
Q8N138	ORM1-like protein 3
Q8N139	ATP-binding cassette sub-family A member 6
Q8N140	EP300-interacting inhibitor of differentiation 3
Q8N141	Zinc finger protein 82 homolog
Q8N142	Adenylosuccinate synthetase isozyme 1
Q8N143	B-cell CLL/lymphoma 6 member B protein
Q8N144	Gap junction delta-3 protein
Q8N145	Leucine-rich repeat LGI family member 3
Q8N146	Olfactory receptor 8H3
Q8N148	Olfactory receptor 6V1
Q8N149	Leukocyte immunoglobulin-like receptor subfamily A member 2
